Model,GPCR,AgonistRank,Class,unseen
AF2 LIS (no templates),ssr1_human,1,Class A,Unseen
AF2 LIS (no templates),oprm_human,3,Class A,Unseen
AF2 LIS (no templates),v1br_human,2,Class A,Unseen
AF2 LIS (no templates),fpr1_human,1,Class A,Unseen
AF2 LIS (no templates),nk2r_human,1,Class A,Unseen
AF2 LIS (no templates),ox1r_human,1,Class A,Unseen
AF2 LIS (no templates),npsr1_human,8,Class A,Unseen
AF2 LIS (no templates),trfr_human,4,Class A,Unseen
AF2 LIS (no templates),ox2r_human,4,Class A,Seen
AF2 LIS (no templates),mshr_human,1,Class A,Seen
AF2 LIS (no templates),gasr_human,2,Class A,Unseen
AF2 LIS (no templates),fzd2_human,1,Class F,Unseen
AF2 LIS (no templates),oprd_human,1,Class A,Seen
AF2 LIS (no templates),gpr39_human,7,Class A,Unseen
AF2 LIS (no templates),fzd6_human,1,Class F,Unseen
AF2 LIS (no templates),mc5r_human,1,Class A,Unseen
AF2 LIS (no templates),fzd1_human,1,Class F,Unseen
AF2 LIS (no templates),gpr37_human,3,Class A,Unseen
AF2 LIS (no templates),gnrhr_human,2,Class A,Unseen
AF2 LIS (no templates),acthr_human,2,Class A,Unseen
AF2 LIS (no templates),mrgx1_human,2,Class A,Unseen
AF2 LIS (no templates),mc3r_human,5,Class A,Unseen
AF2 LIS (no templates),hrh4_human,9,Class A,Unseen
AF2 LIS (no templates),g37l1_human,10,Class A,Unseen
Peptriever,galr1_human,1,Class A,Unseen
Peptriever,ur2r_human,8,Class A,Unseen
Peptriever,bkrb2_human,6,Class A,Unseen
Peptriever,agtr1_human,2,Class A,Seen
Peptriever,sctr_human,3,Class B1,Seen
Peptriever,npbw2_human,1,Class A,Unseen
Peptriever,gnrhr_human,3,Class A,Unseen
Peptriever,glr_human,2,Class B1,Seen
Peptriever,vipr2_human,1,Class B1,Unseen
Peptriever,bkrb1_human,6,Class A,Unseen
Peptriever,npbw1_human,3,Class A,Unseen
Peptriever,fpr3_human,1,Class A,Unseen
Peptriever,mc5r_human,1,Class A,Unseen
Peptriever,glp1r_human,4,Class B1,Seen
Peptriever,mrgx1_human,5,Class A,Unseen
Peptriever,ssr5_human,8,Class A,Unseen
Peptriever,fpr2_human,2,Class A,Seen
Peptriever,vipr1_human,1,Class B1,Seen
Peptriever,mshr_human,1,Class A,Seen
Peptriever,oprk_human,3,Class A,Unseen
Peptriever,nk1r_human,4,Class A,Unseen
Peptriever,mc4r_human,6,Class A,Seen
Peptriever,agtr2_human,2,Class A,Seen
Peptriever,fshr_human,5,Class A,Unseen
Peptriever,mrgx2_human,2,Class A,Unseen
Peptriever,apj_human,6,Class A,Seen
Peptriever,nk3r_human,4,Class A,Unseen
Peptriever,ssr1_human,7,Class A,Unseen
Peptriever,nk2r_human,2,Class A,Unseen
Peptriever,pacr_human,2,Class B1,Seen
Peptriever,galr2_human,5,Class A,Unseen
Peptriever,mc3r_human,3,Class A,Unseen
Peptriever,oprx_human,3,Class A,Unseen
Peptriever,mchr2_human,4,Class A,Unseen
Peptriever,oprd_human,4,Class A,Seen
Peptriever,ssr3_human,7,Class A,Unseen
Peptriever,mchr1_human,1,Class A,Unseen
Peptriever,ssr4_human,6,Class A,Unseen
Peptriever,prlhr_human,3,Class A,Unseen
Peptriever,ssr2_human,4,Class A,Unseen
