identifier,iptm+ptm,seq_len,average_pLDDT,interface_pLDDT,dG_cross,dSASA_int,hbonds_int,nres_int,sc_value,peptide_interface_pLLDT,receptor_interface_pLLDT
cxcr1_human___808,0.7841264864979267,420,78.17838095238089,75.90598484848485,,,,,,72.11831168831168,81.20872727272729
ccr8_human___1514,0.6637096103863377,391,69.89603580562665,66.20855421686743,,,,,,73.04516129032254,46.02428571428571
pkr1_human___1681,0.5204146851820157,410,66.96939024390247,62.34917431192661,,,,,,68.35565217391306,29.843529411764706
gpr75_human___4057,0.5404041592331327,560,55.24341071428569,60.24014925373134,,,,,,69.12170212765956,39.368500000000004
lgr5_human___5654,0.7939512248920706,920,79.22897826086954,83.6604081632653,,,,,,94.85025641025639,40.02
cml1_human___1681,0.54456608221699,390,73.71635897435901,65.18051546391753,,,,,,72.07850000000002,32.71941176470588
ackr1_human___819,0.8462545458250422,409,82.51193154034233,77.75444444444446,,,,,,74.82978021978022,82.04709677419352
oprm_human___1681,0.5278813910217365,417,64.91297362110309,68.34392156862747,,,,,,75.61223529411767,32.002352941176476
glp2r_human___1140,0.8665703896855785,586,67.90430034129692,86.18816326530612,,,,,,85.97631578947369,86.92000000000002
pkr2_human___921,0.4345358239567639,422,71.86940758293841,62.71654320987654,,,,,,69.8445901639344,40.97599999999999
pth2r_human___2257,,,,,,,,,,,
cxcr6_human___681,0.4173087756501568,379,71.28234828496039,66.72467741935483,,,,,,78.15322916666666,27.541071428571428
xcr1_human___644,0.645963832496402,342,75.09701754385965,77.63648648648646,,,,,,82.5467692307692,42.17333333333333
lgr5_human___1458,0.7432055419866854,929,79.96879440258336,83.52395833333334,,,,,,93.435625,63.70062499999999
ccr3_human___776,0.7926530265363085,426,83.2040375586855,83.8851127819549,,,,,,85.06865168539328,81.49113636363636
crfr2_human___3643,0.4524530445865841,438,67.6527397260274,60.953135593220324,,,,,,69.27956043956041,32.89
ackr2_human___646,0.6230087827512738,392,72.25163265306126,79.57069444444443,,,,,,85.23203124999999,34.28
cxcr1_human___3700,0.2429301551018994,565,63.62454867256638,57.03546153846153,,,,,,56.314202898550725,57.85131147540982
ccr5_human___819,0.7484814720397281,425,79.56680000000001,78.80972027972031,,,,,,81.48360000000002,72.59139534883724
c5ar2_human___574,0.8837210740871022,410,86.16524390243904,90.04038216560507,,,,,,88.64536082474224,92.29566666666666
npy4r_human___5654,0.5823370817896754,388,70.56358247422682,69.99978723404253,,,,,,75.52654320987652,35.56384615384615
c5ar2_human___1997,0.5186768461529168,364,76.78126373626375,61.90636363636364,,,,,,71.58205479452054,34.739999999999995
c5ar1_human___5654,0.6039534412304637,363,77.4098347107438,68.43793103448277,,,,,,76.47355555555556,40.622307692307686
calrl_human___3700,0.4923615852719255,676,65.37883136094676,73.43827067669172,,,,,,75.34492063492061,71.72228571428573
ccr6_human___808,0.8588938695688002,444,77.95225225225232,84.73441379310343,,,,,,82.17576086956524,89.17584905660377
ackr1_human___758,0.8512934830294919,404,81.35064356435643,83.37053763440859,,,,,,83.19425925925927,83.61461538461542
ccr1_human___798,0.7891018257947464,424,81.82516509433955,83.25105633802819,,,,,,84.80020618556703,79.91177777777779
npy5r_human___1504,0.8643857421460869,481,69.94869022869018,88.28159292035394,,,,,,88.90759493670885,86.82705882352941
cxcr5_human___758,0.5006663451839689,440,68.5210454545455,60.10327272727272,,,,,,59.55081967213116,60.79102040816327
pkr1_human___687,0.42525213913710047,430,68.27676744186044,54.29871287128714,,,,,,63.25861111111112,32.053448275862074
